FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,PREFIX,MULT,FILL,NOEDIT,TYPE,SEXCL,EEXCL,HLO,DECSEP,DIG3SEP,DATATYPE,LANGUAGE
AGEL,0,0,0,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEL,1,1,0,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEL,2,2,12,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEL,3,3,15,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEL,**OTHER**,**OTHER**,-1,1,40,2,2,0,,0,,0,C,N,N,O,,,,
AGEU,0,0,0,1,40,3,3,0,,0,,0,C,N,N,,,,,
AGEU,1,1,17,1,40,3,3,0,,0,,0,C,N,N,,,,,
AGEU,2,2,55,1,40,3,3,0,,0,,0,C,N,N,,,,,
AGEU,3,3,999,1,40,3,3,0,,0,,0,C,N,N,,,,,
AGEU,**OTHER**,**OTHER**,-1,1,40,3,3,0,,0,,0,C,N,N,O,,,,
AGE_EDITS,0,0,0 newborn (age 0),1,40,23,23,0,,0,,0,C,N,N,,,,,
AGE_EDITS,1,1,1 pediatric (age 0 -17),1,40,23,23,0,,0,,0,C,N,N,,,,,
AGE_EDITS,2,2,2 maternity (age 12-55),1,40,23,23,0,,0,,0,C,N,N,,,,,
AGE_EDITS,3,3,3 adult (age 14+),1,40,23,23,0,,0,,0,C,N,N,,,,,
AGE_EDITS,**OTHER**,**OTHER**,,1,40,23,23,0,,0,,0,C,N,N,O,,,,
FSEX,1,1,1 male,1,40,8,8,0,,0,,0,C,N,N,,,,,
FSEX,2,2,2 female,1,40,8,8,0,,0,,0,C,N,N,,,,,
FSEX,**OTHER**,**OTHER**,,1,40,8,8,0,,0,,0,C,N,N,O,,,,
I011721AS1Y16Y17RC,A0103,A0103,115,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A0104,A0104,39,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A0105,A0105,39,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A021,A021,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A0222,A0222,115,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A0223,A0223,39,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A0224,A0224,39,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A065,A065,115,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A072,A072,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A202,A202,115,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A207,A207,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A212,A212,115,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A221,A221,115,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A227,A227,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A267,A267,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A310,A310,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A312,A312,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A327,A327,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A3681,A3681,85,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A3684,A3684,141,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A391,A391,23,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A392,A392,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A393,A393,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A394,A394,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A3983,A3983,39,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A3984,A3984,39,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A400,A400,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A401,A401,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A403,A403,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A408,A408,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A409,A409,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A4101,A4101,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A4102,A4102,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A411,A411,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A412,A412,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A413,A413,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A414,A414,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A4150,A4150,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A4151,A4151,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A4152,A4152,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A4153,A4153,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A4159,A4159,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A4181,A4181,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A4189,A4189,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A419,A419,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A420,A420,115,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A427,A427,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A430,A430,115,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A480,A480,106,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A481,A481,114,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A483,A483,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A5055,A5055,39,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A5440,A5440,39,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A5441,A5441,39,1,40,4,4,0,,0,,0,C,N,N,,,,,
